,Year,air_fatalities,car_fatalities,Injured persons,Crashes,Vehicle-miles (millions),Rates per 100m,Fatalities per 100m,Injured persons per 100m,Crashes per 100m
0,1960,1565.0,36399,N,N,718763,,5.06,N,N
1,1965,1636.0,47089,N,N,887811,,5.3,N,N
2,1970,2049.0,52627,N,N,1109724,,4.74,N,N
3,1975,1639.0,44525,N,N,1327664,,3.35,N,N
4,1980,1827.0,51091,N,N,1527295,,3.35,N,N
5,1985,2670.0,43825,N,N,1774826,,2.47,N,N
6,1990,1312.0,44599, 3246000,6471000,2144362,,2.08,151,302
7,1991,1839.0,41508, 3107000,6117000,2172050,,1.91,143,282
8,1992,2122.0,39250, 3079000,6000000,2247151,,1.75,137,267
9,1993,1568.0,40150, 3163000,6106000,2296378,,1.75,138,266
10,1994,1876.0,40716, 3275000,6496000,2357588,,1.73,139,276
11,1995,1593.0,41817, 3476000,6699000,2422823,,1.73,143,277
12,1996,2386.0,42065, 3480000,6770000,2484080,,1.69,140,273
13,1997,1673.0,42013, 3360000,6624000,2552233,,1.65, 132,260
14,1998,1544.0,41501, 3199000,6335000,2628148,,1.58, 122,241
15,1999,970.0,41717, 3250000,6279000,2690241,,1.55, 121,233
16,2000,1429.0,41945, 3194000,6394000,2746925,,1.53,116,233
17,2001,1398.0,42196, 3042000,6323000,2795610,,1.51, 109,226
18,2002,1437.0,43005, 2939000,6316000,2855508,,1.51, 103,221
19,2003,1276.0,42884, 2902000,6328000,2890221,,1.48,100,219
20,2004,728.0,42836, 2802000,6181000,2964788,,1.44, 94,208
21,2005,1306.0,43510, 2709000,6159000,2989430,,1.46, 91,206
22,2006,1136.0,42708, 2583000,5973000,3014371,,1.42, 86,198
23,2007,931.0,41259, 2499000,6024000,3031124,,1.36,82,199
24,2008,820.0,37423, 2356000,5811000,2976528,,1.26,79,195
25,2009,581.0,33883, 2224000,5505000,2956764,,1.15,75,186
